address,withdrawal_block,first_shield_block
0x71455451df7868da52e45f9a3a39852f4ec1b654,11869828,15074277
0xd4e1346a2180c8676bf983e33a90e1fba3ef8556,15244435,15245000
0xc782b3d3a484aaba2c60b1238921ce0c0f6fd50c,14732759,15493286
0x0952fb9fabefb3a73f0572a33d4a83b8a79272bc,13084904,16095376
0x6f71e1190f2ebf07844ecec08e8440b4a3e83da8,10812399,16238782
0x6a9d610d3107c3112af2fb311fe2077cd57148b8,16239058,16267133
0xb4e3a5bff24be8b5b2882f6e9ab01ff8cd5d0478,16427315,16519597
0x05a0ce80f1b932a66b69d430dfb903bf0cbafd7f,16557627,16557636
0x105646333b98c4044893e1d3f549a7cda70374ab,16556674,16575615
0x334cfb514618746cccbfd00dd4bc9ce950cd505f,16496287,16596553
0xb6ae174601032a6bc44fcbd0c4a2cb3180daffa8,16653843,16653970
0xff571c62fe0ddf5b4ffe783b7f4cd2171c8bd422,16628389,16710972
0xc5ff49b0d11c961314097bcfdd142deacf0bf16b,16795649,16804006
0x61273e982a33aef0e65d269508ab9d67dbbf6b23,16584138,16806813
0x5ace7d462eb8ccc9638e7d9c906185d804bc2768,16555864,16838818
0x2625daf1724cab9de8a11a3e7bf902d4ab99e995,16470971,16851483
0x9182f4983bc03421d3efbd6cac102e3c87f6c145,16477018,16856974
0xa769187eb3351072a31ae7f5c2204cc375ff1f7f,16770005,16875834
0x2b086c876e9c1bffb84832a783b4e1635b3affb9,16902035,16902054
0x349dcaf1ed4addb4b603caf0266e189fe56ca4ee,16895578,16920583
0xa44545d6a5876dffbc0aa88cf29059a7806d8782,16510227,16924136
0xdcc23e0ee238a24c43af7d618f5553d649ac9e50,16902197,16936549
0x4743006abb208b812330641834c4f27511a4fddc,12456618,16936787
0x431c687db2211959763d9d1d23af550db6e2a0c9,16915020,16952957
0xfb113816874ca19cb789dbe35c929bcf99635b1f,16920823,16953048
0x87570bc3fbedf4977afd4b09870cdc904f7288af,16509858,17027121
0x8d9bd699805b1b811829658babca9b78e2a02dda,17042223,17042365
0x6eedcba0ea2b3475ad024809deaa06d32c4ec1d7,17025293,17044974
0xdbe19869fd32c336c4c29c572007723e871ec6b6,17038327,17047177
0x71d41c16441db639245cb1e6963347ac8c0016ea,17055762,17055779
0x8fbbd1d22d7937c03bb2bebcea2882e85af3f7a0,16922297,17063129
0x305e624ad252282c5cd28f41fe01f4c1c5eca9d8,17095738,17095870
0xa7eac2e35c0ce9975dc0e90573834a38b9446670,17033976,17097769
0xe701c95fd535d53fa1539b8ddbe6f0b521f4f6bd,16921591,17162537
0x89cf74f6496b3ef3f24d0f1cae81a0ba1a06260c,17216317,17216492
0xffa3e969a687e0f6ecc9fee07922eacb1e5e2446,16905445,17247807
0x5b33d097820a0197cdf939e050cf57ecba11279a,11681652,17264623
0xeb843828ce58eaa51c8a1d14824b955c3dc9dd7c,11492355,17307624
0x2ee5246e705f61a05d89f1207d45d81630ce02bc,17249155,17344968
0x5c2c3764a4ba0a4ea4b81532aa48e3a72ad0655b,9663576,17351667
0x11d0e95d6902305e29e14fd242ffdb7b1a97d538,17369053,17370006
0xb35217003a472914c5579817625f7dfe0eb026cb,17377252,17377322
0x2040f7fa62065391a84755729fd3800c4844db90,13475684,17388963
0x38fd288c6a65f6d6771e1d64a0cbb2fed9eb8118,17270586,17439100
0xd3e6c75821ecbe17623671f5fe3c65750c4228aa,17465249,17465266
0x46bd9d27e21b81b4fb698dd55ad19161454ad70e,17497823,17497836
0xd07a0e88692336f3c3c40fae1191c63307e1a178,17523475,17523549
0xf76f4aca105c24b5f7e4d2fbc77502b1fb7c3f41,17661116,17694203
0xf796d7086c8e042bd455c3599aa08d2a54896304,12777551,17754406
0x70c45a76379b88ae2aeab8b6b3ab2d9a6f1ffd58,17805558,17805696
0xc02c1617a42c6f91061be3b0df1978bb971f7fdb,17830865,17830871
0xf442c78cbef0d1e069ddd07587d851d1037add78,17281068,17844746
0x0487e0d6503a1ede9118ec5c84e64dfbf5738d87,17859737,17859780
0xfadeecf5ef52507e5af37a6e08579d77c5ad8880,17870942,17894660
0x61c66756ce92e74c0d91b33eefa69c70e4d4df94,17899848,17899921
0x8586182ff1df71215d8737e3a4e81f7a2c0a7922,17906650,17906715
0xeab9c3cb292c7f41a198093cabc81e11b627e602,17939651,17940003
0x454a5241195218ba8c4ffdfc15fc2214208aa395,17982343,17982387
0x2fc9f56fd3dff193abe1e5fa8e156989aa70d781,18039998,18040010
0x8f4d83a384b73a376a83a81c3d3aca511ac0cfe7,15469731,18227856
0x6b8a83eb04fd67b87de6bcba96658c779a4e2c43,14216845,18231840
0xeaa444b54ee9bbfd7fa96fe3ac7721432947f180,19636108,18235523
0x5d7b599088e14a3a1ef8319270cf4451a6d814fc,13909441,18279275
0x185cd91059eccb7d04d78d6254aa58fb56f84c2f,18283569,18283643
0xfbc369359ab4a0455ad1ac71ff5077b78af5d965,18026994,18340325
0xba7fc91f12e938dfa48919ca04177e9b2888639d,18425058,18425170
0x9ace5df0fb6c1d6087ff5e82c93124096d054e97,14057263,18435460
0x1ddf880cbf337bcf66cf26c7e337c286ec48649c,18379876,18463773
0x877d5a30501a7255148615bf3a2c294ecf28e531,18710958,18546581
0x800c49b4a5bac2ac16f045037f8fbac255b62ec9,9412830,18620828
0x55f6f152a2c8c1777e35b1cc4af7fc2d53b94539,11210841,18635777
0x8878561c9f2ca724bae161a511ec2015a90b23d2,18688779,18688812
0x74d8dc994856fbcab225d27f1df5bf765368b0c4,18483263,18777961
0x3670e1bf4f566e1e73e9b575ad0b7d6761df9343,13650917,18783011
0x0373f7c39daa1f649c56ff5e8c78e35e06948889,13982874,18816252
0x0f85dc605a9f22cd29e61fd98b33e5577b16eff0,14125115,18816662
0x63ea88c5f4be3faa4a597c3bea5c6a3b4408d217,14236216,18817753
0x6470ad27858cbd52036a4843e2f9646e35877c09,14237638,18818670
0x2816686a73daf4197dffa39dc741684bb7060a1b,14125048,18818700
0x99f06f32a3354cd6546e38c476a9ae60afdfec49,14125104,18819358
0x71d9dcbcf5b7656e22163a404ab3a07a70aeb7e4,25649125,18902168
0x7748701e5044cfcc7efaef38429e289759cd4afc,13992505,18950137
0xb4cfdbc0c8b44dff060ad39b570aff0bd5537cf9,18971554,18971706
0x16c87eed3057363593a965e48eccf41395b32366,18974441,18974736
0xafdc7b014631bf1fc2fbfe91fb4fe2effb463bc3,10291421,19050752
0xfd781b9c7d656ce53d83f7b7086f75ff04026223,17904562,19053245
0x175c0ad71624a537cf594751a0a98c2fe85f950c,14967319,19076102
0x29fdb32b5396858280788c0da72c14f4c5a8007b,19298697,19298840
0x04a9330e280ad5c2bf94f07cebd1c84eeaf82a6b,11773231,19326377
0x1636c3b3562a599427a1bb96916a33e9857f47bb,10659708,19367797
0x6e21bb77d802f94780721fc25ad72537139b6522,19398782,19398943
0xabb3911e303bd66f799d0bfaf5538d5bcdd3f8f7,15279090,19706409
0x89dd06754bb239b6c4c92bc47c8fa72889084e27,19706557,19751474
0x12ab08fd1f0e771fe35325c627da69b959645811,19809965,19810099
0x16b3bc6e2ffd11b659432c27339d55cafa63471e,19824248,19824448
0xde30040413b26d7aa2b6fc4761d80eb35dcf97ad,14842842,19862701
0xc07d8a7c8979b56d0bb22a2753a6daf62641132c,19864835,19890112
0xa335afca0a16a8747d9a20747dd310f6c203d9da,13202971,19901925
0x752a9c22c74f4197e31ae721044abd1475df3706,14389563,19906906
0xba511c9835623872f7798fb795b49fb9f0dd79fc,19921979,19921991
0x38ec5198c7d395099a4058fdc76156e369d8c1f8,19816437,19944089
0x9f98d193d68131b1cf6797a0f21b5c996a0fe706,11636286,20049890
0xc6dd70291cb1c767ec989efa19186bc656f16c5a,16967294,20068760
0x01b645774604c312dff83dc55139efa28c52ec33,15287311,20072637
0xa6917945da51d5354859bd15f7e3872ef0ebb873,15697293,20085553
0x39e0536143f15094a9e52633cdee42c4eb5b879a,18888963,20137824
0x33a3783e3320e1ae418ea8b682a6ec457527d949,11590022,20142406
0x44e6e0c929b0b575d6bec893876b23b81320f38a,11655471,20142455
0x2f44f1d470c76907e3297b428a878f74be223859,12310236,20144335
0x5e209c84e8632c011b7b5209dda3f7e50409c446,20144785,20144892
0x7fe83f45e0f53651b3ed9650d2a2c67d8855e385,19472938,20144990
0x93c3dc0cc0af3525aa7f2ff49272437b44da1f0b,11658027,20148357
0x2106fd13c5e8584b94ef8779d5139aff1f6080a1,11637720,20149152
0xea9398c90c5bf4176287fd2c9f0f6f9fba7e5b58,9756146,20149297
0x942f48798822f5a4e5d4767b39ede5134be7d79b,20175164,20184877
0xb7de36164e256c97a5849c8f66646e3896566c57,13260837,20222140
0x17641e2c1b04ff07420150edf0175b5de76a95f1,9834138,20249916
0x905315602ed9a854e325f692ff82f58799beab57,11840834,20354986
0x2832f8ebd5483b274e189dbb11b46d481ac5cdae,20369857,20373956
0xa70058803640d44d74fa99108cc4d7ec66beb34a,20343240,20420837
0x7c32d5779b79cdd5fb17c50fb46a1680a552eacb,14759365,20447143
0x67f809a08b8ec299e8474759498d4fd5fe2a7747,20533899,20528960
0x41586c2c3fc5c1dcaae8ea01f3a9edd4823815a1,20571390,20571916
0x74d2b904c6a7aeebbbdc4ec9c2335ee393f9a452,13228585,20595359
0x006fc62334b3fbba68d9f599bb680995010f140f,12958031,20624312
0x16ccc86bbafbe6c9a2482bb7f6b867797b853ccb,11570951,20642922
0x842e4aee6d01b690bc94107b3f844a0c42f82cd7,18184131,20657598
0x96ab9bae5c35f33308837ca09f774958dee635f7,13730399,20659091
0xec5c4478f438cbf56c5e8ac9f471a669e03a693b,11982891,20787426
0x45e67b17ad78a912cf66a508414267913c28ce47,20792521,20792541
0x206b2e4220f100b874ff94d214d696eb9b067891,16117749,20800892
0xd8be3c06fe1fba4e3306daa1fd2a4f86a577873b,17792917,20801024
0x517e8c4f3c803511eab2c1f57158ae2dbee18897,10964774,20835999
0xd8dff3238d692c549f9320cced3cf22bc4b12490,20883168,20883189
0x6e0fc44cce1b49323185138217649b5e8996a159,11984340,20922848
0x20e97be90357a0c700f1ad2ea0c94161eeaa9a42,18382621,20995348
0x94287353dfe4ae4983d96d961c17c53bc4e05f03,10979214,21094071
0x61a706446e66c35e75e46cfaaaa275a1ef5545b5,21234772,21235874
0x6ab78e24481b80e2ca1007f3aada82b0b3bf76aa,13922152,21280701
0x978741a95823c830e5180e5589a47ffcc9f2d607,18411646,21286264
0xc532e8d1aba3ca8daea0f303b443d36b10bf47d4,11613534,21364915
0xc814d2ef6d893568c74cd969eb6f72a62fc261f7,11893479,21393105
0x28db92fdf955eed69296b1f2e2811b701d726618,11950616,21406598
0x2b33b018ffce3a7e919638f198bee81466dfdfa4,14003400,21517718
0x47caf44297b54c100a48a058bfbdfb949881ed0d,13957146,21621176
0xe5a4c70113b90566bc5f80a3866935d0d52f990e,22182535,21623722
0x1a10eacb6f4feec6c54a2ce624856147ac0f7bfb,18376711,21722710
0xd057524fa8218d0c3e1ad9d1562402218a725f78,13419577,21815912
0x5aa5558b5aaed9a45933ce7fcfc33add674aa1c9,22046585,22036033
0xd1a18fdedc7daef78fe7b4100e5e61cc04765e13,22147190,22147643
0x1be8f2f8db6a6dc294f30aa3ac3ca1927053b8d9,22233685,22154604
0x77fb086a26e3e6211cfe8075d039eeb73770e166,13350943,22155085
0x6b0a5b18e85fa2e79ad3e26a5f302fe590b46c67,10920865,22204028
0x3c9af946c5f73d46b0adba1badb91252d600690e,17030799,22211502
0x6be3573699e8ef7f9ec16867e8195427ffc2e62a,22282775,22282927
0x19c7b9afbaf28129b5edd237e711ea777cddbfa1,22283096,22283102
0x7dcfa7a9e7d08c9c36d994425e27c1b14bb9a379,22283265,22283275
0xae739243afb8ef6d0f306a4bcaec700832550a45,22283232,22283280
0x4b802f2f2702f0178d63385320a7fb25a6577967,22283474,22283484
0x927069f668fa2bd3fb30b0d0a781754c3792788a,22283525,22283528
0x421d8bf0f05957e6111013b18e76653df1d4230a,22288893,22288902
0x6ad55955d294cbce77777598f481183580d81286,22289249,22289255
0x7f3212d06848e7a3ac92289e4454d2d0e10676b2,22290242,22290247
0x3a1d526d09b7e59fd88de4726f68a8246ddc2742,14399149,22315693
0x5b2ca921c3a54a09adfd27ae01f24a5acfc2b2b3,25421810,22326971
0x6f5813e24a2a983a68d0bd44a1d1997eca5c07e0,22327030,22327043
0x259354b234e2344402dc299b8de5479e6eaeb3a7,22357449,22357563
0xb4a68f076c363176836fd5e8bcae85e51a8e2021,22357506,22357567
0x8974d33df7ff3551ffbb151082400cab8ce3ee87,22357554,22357573
0xe5f43279d89ae38149b144beb5e5d0b8fefd5acf,22362417,22362732
0x44be1da7f2f1a29ddf8b2ecef1965ec0b3c0b109,22275242,22369341
0x8626187ca580677e8d8d845cdc3d8874468d6518,22397206,22400143
0x03c14a4233d1963dd6cbd821cf04548c57f85f5d,22396516,22400897
0xa161452150f51190c06dd79f60156ea548c29c08,22483472,22483617
0xf603a4e314664271f9e9dc6120cfbb508286dde6,22558476,22560366
0xbe4a5a2b8fa2af34d71f5f71ea90a58aca97c101,22577231,22577241
0x7a2bf53e631c7f99932e3a92ef574f6dfbecf710,11023639,22615366
0xf6fa60118654cca1d902e0e951e355ef452b08b7,22628881,22632280
0x4974e31c3833607691cdd985eec95a29bf88f4a2,13818643,22671486
0x6d7f90423f3b0ddfeda8347011af18ebd28c36ab,22819293,22819307
0xf2fd616f4f87b8a768322541930b03225c4c1120,22669688,22849607
0x844eb7cb492334bb4c22c986c678dd8e5b2466b4,14203376,22870181
0x748902e620ddf37facc7c35c7efccea41144e127,22404527,22893610
0x69b38da50a977dc61c7571c9dc8192ea1a884dcb,13436136,22930517
0x1ac3baaa24b4a31c505afe0c3ebc02ee298d36d2,15146708,22966798
0xf1eff6ea1ff96a39ff4aac8a6c7e5e530ad47697,22428468,23013559
0x47591f3afe1fff32aa2ffecb5b27a16f279fdbcd,11657348,23019380
0xe578866feafa21cceb6fc44e8bb209b3c22922d9,23186800,23179693
0x47e105d26e245fa3729b95138f1cbc4902349a5d,23183392,23183845
0xa780ebf05a64129c5ad821cbd1de76243085bf9c,23187132,23187374
0x6b1c65e35b69761c62c48973fa56623db17e2bfa,23212908,23213175
0x38be8f6eea0ffaf2a02e99fdbd154f489668f6f3,23227310,23227558
0x5448337173ca7b41516e089351b5441430534bb3,23245573,23245578
0xbf79c55c94863ff8d6b832cc2f828edc97b7e5b7,14989558,23267409
0xe898c16d1fbb13dbd0665a1d533d6b91d0631411,12291152,23270900
0x561bb68d6b58a08483162b50cfa3e05e7225e5b8,11463427,23276364
0x6dbe5e995928e7994b87fef62864df5a98acbf52,23322168,23322230
0x8eadaad20a5c2d0da1c8f9c12e0050c7a908c0ad,23322265,23322302
0x0650e182d69c9d1d96f11be0adfef92cd18e6c0f,23333887,23334146
0x0a5b2bf3ccfb44c1d22f07eed9553ecba752d4ad,22796458,23395491
0xb513f7ace228fcae788a3dee87925c83a5f1a1bb,23421495,23421524
0xa096f39f476e6dc120f4bcba3ece4401797e79cc,23421500,23423711
0xaf6963f8d4ed3acddbf5d23309ef7b1b693cf819,23424201,23424211
0x74369f6e61cc79e0cfa2ecc6051b2531b761f8ae,23421506,23427209
0x9423829eff21ece3a20313fa11a46856c96e7da7,23428197,23428201
