exit,shielder,funding_block,withdrawal_block,first_shield_block
0x0000000000000000000000000000000000000000,0xba178ae12daa78de6592847cf8bb26508ae5d5db,11010809,9117019,22457697
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xeae2d1cfaa84e5cc175b4913dc866f6cb7306681,11022923,15309226,24333726
0x0000000000000000000000000000000000000000,0x45def41464da83ec5f05c40f0e948f5e17b1d9ef,11056449,9117019,20203135
0x32519a4e46fe578d06064c2183dd7bcd633d24a9,0xe8184a8b3bca1ca88d834816f0e3e1ab7c74caf0,11060413,15019628,23927313
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xe72ca05f0789196b1b1162cdf4af2116dfb5d386,11114297,15311751,24339205
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x1dd50763ebf30966922c428177b090a90a634de9,11146258,15311751,24045845
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x0ea72a979fe7a4f1b3cf7722c68386f128175f08,11375697,15311751,15873042
0x69b38da50a977dc61c7571c9dc8192ea1a884dcb,0x03bbcec99a1d7837568767ed77b54f53bc4c4d90,11393900,13436136,22680451
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xd3ca14c45196f56a2a0788265a8cc7e7ce968c06,11421488,15311751,16115526
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xd5e32fcd2458b026dcb2cb0134cd8da5bd20cf42,11436731,15311751,23868277
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x3b353012b93deea92dd71ce0bc62ce947cb3cd02,11490408,15311751,18589448
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x2ba2fee8a71d4012815635d87b19ac28cfaec95d,11547698,15311751,23812214
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xb817f347cc5dc77dabeb45dc071dc4ca80b28e16,11551195,15311751,17301807
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc05bc25eaa52a23476e113b9a139a66e7473b364,11617436,15311751,24032251
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x893c049d6ab920d60b1838be662b3ed8b1510878,11625968,15311751,24178350
0x5c47185e0c026151c978ff1e36c1309bd71da9c3,0x28907f21f43b419f34226d6f10acbcf1832b1d4d,11643694,11441133,18759103
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x91b8c011997b713a7afc7f30cc87ce7998d5707c,11661535,15309226,24075186
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xcca02de5372cb0caac425543487789eef5d17fb5,11698242,15309226,24335213
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x95aa6cf80aa61c3433215c7b8330c065ed29ce97,11716240,15311751,22964499
0xb9b8ef61b7851276b0239757a039d54a23804cbb,0x14a03ca8740a0044e63d3bb0432540d9509473d1,11724162,9600746,22469816
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6573e30ee0ad46bc9afa0c2adb0d3f147d658efe,11782685,15311751,19816710
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x11e29129b4aa6f5a8d9643201a5bc950579b3185,11837062,15309226,19892131
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x8888885a235a65f98389f9d628bbeab5e323eb15,11849350,15309226,18113451
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x4913d2a056ee558859af270e2261feee5b39be34,11879267,15309226,24180107
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6ad22cb107a48919a41c35da659d7e7d0e78ce5d,11884186,15311751,23091697
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc579b72fe7986b64a84948f8a41c4bee396835b5,11888089,15311751,24417451
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xd8e6784f7cdd0ed817124e47708a7eeedcfb5d86,11896030,15311751,23798912
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xedd4029250dffa95700aa79685e4a6704123baf2,11962297,15311751,25325464
0x0000000000000000000000000000000000000000,0xd750d9d2c59f456176c3d222f0816f5a88b9b11a,12028014,9117019,20846718
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x8888885a235a65f98389f9d628bbeab5e323eb15,12061266,15311751,18113451
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xfba22623a465d0cf942e86a17b871d153af6461c,12166034,15309226,14920258
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x061c26812ce7cbb4bde7a2fb2b9b57c15697f52c,12177341,15309226,20861814
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x206a3d63761256d45060cee537c934143ca6afc4,12190240,15309226,15688508
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xf1a11243b9f79527e397cbe350eec308026b5b36,12214881,15311751,22888286
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc0a2f3b3990de10a22a00377df0f3e7503c3a14d,12234884,15311751,17125354
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xeab1bae68d4951dce7608e7af9ec62cb331a31c3,12265881,15309226,22516986
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x8b166e995715df6e439973df582e455c32f8186a,12279713,15311751,23582060
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xfbd50c82ea05d0d8b6b302317880060bc3086866,12308466,15309226,17145694
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xbc73d5574948d25cb7563913e59024c5fcaec9fd,12330016,15311751,19084699
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xbc73d5574948d25cb7563913e59024c5fcaec9fd,12331613,15309226,19084699
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x968798cfa0d8edce29513de17780a19d08944942,12352988,15311751,18297483
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xf70fa1b8443c620ca7d43a9d17f4bde8b09031cc,12365944,15309226,24032493
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x45b020c2773a12ef018c884e79e5fdd89fb4e050,12396831,15311751,22677501
0x21532d4267648191bef7a33c813c43cf90a6fa78,0x8ae6422631292c31aeeb2efe154d6326f703f46b,12407238,12364168,24772921
0x7a2bf53e631c7f99932e3a92ef574f6dfbecf710,0xeebc8b70f714ed861fb33255fbedb80813606e07,12412589,11023639,22645278
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x531cdf82e7a2826259d8c8f95429c07764e33ade,12452660,15311751,24154185
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xbf50dfe5e0b6d190549f4f00616cdb7c968e7b0b,12458783,15309226,23494618
0x28c6c06298d514db089934071355e5743bf21d60,0x6e663c2646ff21665356ce3cc61552e930ef4d37,12472356,15311776,23499698
0x28c6c06298d514db089934071355e5743bf21d60,0x0cec743b8ce4ef8802cac0e5df18a180ed8402a7,12529744,15311776,17609189
0x28c6c06298d514db089934071355e5743bf21d60,0xd8e6784f7cdd0ed817124e47708a7eeedcfb5d86,12530179,15311776,23798912
0x0000000000000000000000000000000000000000,0x3a5fddcc68fde131b97e9e53d89a9a430e563c43,12568336,9117019,17614336
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x7ad0ca6c83bcc232159734d579326910ebdf401a,12606536,15309230,24847435
0x28c6c06298d514db089934071355e5743bf21d60,0x531cdf82e7a2826259d8c8f95429c07764e33ade,12613232,15311776,24154185
0x28c6c06298d514db089934071355e5743bf21d60,0xb20d455296589ea0d4b12c936242656867530f3c,12646442,15311776,22972824
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x3511748c00b6b2dd9f77c1141cec9c0bd7ada5be,12683810,15309226,24032486
0x28c6c06298d514db089934071355e5743bf21d60,0xeae2d1cfaa84e5cc175b4913dc866f6cb7306681,12710329,15311776,24333726
0x28c6c06298d514db089934071355e5743bf21d60,0xd5e32fcd2458b026dcb2cb0134cd8da5bd20cf42,12785497,15311776,23868277
0x28c6c06298d514db089934071355e5743bf21d60,0x45b020c2773a12ef018c884e79e5fdd89fb4e050,12791896,15311776,22677501
0x28c6c06298d514db089934071355e5743bf21d60,0x1826bee952d1236b2ddd03d0fcf7d1763c368312,12819438,15311776,17043083
0x00a0847926a77692495774f1c71ba8abef99dd52,0x81afcf6dd79897cba488471ecec2f41bf3f7ca9b,12840561,12709032,17339725
0x5f05284e6717ac375e4bc5cd7cd6d75833faf2a8,0x9c67db2084791d4943b1c670db59c27b6659c728,12843460,12843283,22552012
0x28c6c06298d514db089934071355e5743bf21d60,0x3f087af4140bcd93ae39f7fdd2b3edfe3474146f,12878816,15311776,22724185
0x28c6c06298d514db089934071355e5743bf21d60,0x968798cfa0d8edce29513de17780a19d08944942,12892704,15311776,18297483
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,0x52ab58c10e9187a79da50f892ea4801aad58cb00,12901501,15309227,23169772
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x5dcb7f015b2c046572419db4e3805b67e8cc47e1,12905320,15309226,21659312
0x11a91878d17f9839512b9af1aee35fb65c459d78,0x6674eb43176744a43aa44a54bbadea0abf09f9d2,12970576,12888931,25328810
0xa7efae728d2936e78bda97dc267687568dd593f3,0x90a699d2b6eb0f7c3170d502c0bdf386f7faf058,12977712,15309224,20050519
0xa7efae728d2936e78bda97dc267687568dd593f3,0xe5354c030fd45c8b07eb46895ec0123407a9b4d3,13004313,15309224,22494263
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x2b2b623d5b40e8d5d0932abf4bb383b2b42f69c5,13016007,15309226,24324485
0x28c6c06298d514db089934071355e5743bf21d60,0x90a699d2b6eb0f7c3170d502c0bdf386f7faf058,13079818,15311776,20050519
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xc50459d31163e0bbf1864fef17d370fe21ffae6b,13108965,15309226,18231768
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,0x2ec747b05e1af86dd25913647fc57d8378f8e80d,13138970,15309227,18231833
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xdb3f9fd61a8ff4e52fa4da9e9d0ce512fc6ce0b9,13144254,15309226,24638904
0x28c6c06298d514db089934071355e5743bf21d60,0xc0a2f3b3990de10a22a00377df0f3e7503c3a14d,13144273,15311776,17125354
