interval,bucket,count,share_percent
withdrawal to funding,"negative, out of order",151,8.81
withdrawal to funding,same day,260,15.17
withdrawal to funding,1 to 7 days,51,2.98
withdrawal to funding,7 to 30 days,71,4.14
withdrawal to funding,30 to 90 days,84,4.9
withdrawal to funding,90 days to 1 year,245,14.29
withdrawal to funding,over a year,852,49.71
withdrawal to funding,median days,356.2,
funding to shield,"negative, out of order",200,11.67
funding to shield,same day,1031,60.15
funding to shield,1 to 7 days,48,2.8
funding to shield,7 to 30 days,25,1.46
funding to shield,30 to 90 days,28,1.63
funding to shield,90 days to 1 year,56,3.27
funding to shield,over a year,326,19.02
funding to shield,median days,0.0,
end to end,"negative, out of order",56,3.27
end to end,same day,216,12.6
end to end,1 to 7 days,51,2.98
end to end,7 to 30 days,62,3.62
end to end,30 to 90 days,68,3.97
end to end,90 days to 1 year,192,11.2
end to end,over a year,1069,62.37
end to end,median days,691.0,
