month,new_shielders,depth1,cumulative_depth1,share_percent
2022-05,15,2,2,13.33
2022-06,23,7,9,30.43
2022-07,19,4,13,21.05
2022-08,66,20,33,30.3
2022-09,88,13,46,14.77
2022-10,61,10,56,16.39
2022-11,86,6,62,6.98
2022-12,96,11,73,11.46
2023-01,200,79,152,39.5
2023-02,155,11,163,7.1
2023-03,186,16,179,8.6
2023-04,253,25,204,9.88
2023-05,223,18,222,8.07
2023-06,259,43,265,16.6
2023-07,218,27,292,12.39
2023-08,253,24,316,9.49
2023-09,243,20,336,8.23
2023-10,282,28,364,9.93
2023-11,299,33,397,11.04
2023-12,292,31,428,10.62
2024-01,330,30,458,9.09
2024-02,252,23,481,9.13
2024-03,370,21,502,5.68
2024-04,408,21,523,5.15
2024-05,668,35,558,5.24
2024-06,626,46,604,7.35
2024-07,479,29,633,6.05
2024-08,706,33,666,4.67
2024-09,705,35,701,4.96
2024-10,606,23,724,3.8
2024-11,556,32,756,5.76
2024-12,534,28,784,5.24
2025-01,648,36,820,5.56
2025-02,604,21,841,3.48
2025-03,822,27,868,3.28
2025-04,867,30,898,3.46
2025-05,834,30,928,3.6
2025-06,787,37,965,4.7
2025-07,728,35,1000,4.81
2025-08,1166,38,1038,3.26
2025-09,1095,79,1117,7.21
2025-10,1118,51,1168,4.56
2025-11,966,45,1213,4.66
2025-12,1443,64,1277,4.44
2026-01,1666,47,1324,2.82
2026-02,978,27,1351,2.76
2026-03,1123,39,1390,3.47
2026-04,943,26,1416,2.76
2026-05,997,28,1444,2.81
2026-06,1075,34,1478,3.16
2026-07,1336,21,1499,1.57
2026-08,503,9,1508,1.79
